id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; size ; 
004F ; FtrBabybed ; baby bed ; ベビーベッド ; 嬰兒床 ; 婴儿床 ; 아기 침대 ; lit bébé ; Babybett ; cuna ; lettino ; babybed ; кроватка ; Beige ; 1_0x1_0
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка ; Beige ; 1_0x1_0
0053 ; FtrRockinghorse ; rocking horse ; もくば ; 木馬 ; 木马 ; 목마 ; cheval à bascule ; Schaukelpferd ; caballo balancín ; cavalluccio ; hobbelpaard ; конь-качалка ; Yellow ; 1_0x1_0
0055 ; FtrRailroad ; train set ; てつどうもけい ; 鐵道模型 ; 铁道模型 ; 철도 모형 ; train miniature ; Modelleisenbahn ; tren eléctrico ; pista trenino ; treinset ; железная дорога ; Green ; 2_0x2_0
0056 ; FtrSlideelephant ; elephant slide ; ゾウのすべりだい ; 大象溜滑梯 ; 大象溜滑梯 ; 코끼리 미끄럼틀 ; éléphoboggan ; Elefantenrutsche ; tobogán elefante ; proboscivolo ; olifantglijbaan ; горка-слон ; Blue ; 2_0x1_0
0058 ; FtrQuoits ; ringtoss ; わなげ ; 套圈圈 ; 套圈圈 ; 고리 던지기 ; jeu lancer d'anneaux ; Ringwurfspiel ; juego de lanzar aros ; gioco degli anelli ; ringwerpspel ; игра с кольцами ; Orange ; 1_0x1_0
006D ; FtrBonsaiKokedama ; moss ball ; こけだま ; 青苔球 ; 青苔球 ; 이끼 볼 ; boule de mousse ; Moosgesteck ; bola de musgo ; vaso di muschio ; mosbal ; кокэдама ; Green ; 1_0x1_0
0083 ; FtrManekineko ; lucky cat ; まねきねこ ; 招財貓 ; 招财猫 ; 복고양이 ; chat fétiche ; Glückskatze ; gato de la suerte ; gatto della fortuna ; gelukskat ; кот удачи ; White ; 1_0x1_0
0084 ; FtrPlantSucculents ; succulent plant ; たにくしょくぶつ ; 多肉植物 ; 多肉植物 ; 다육 식물 ; pot de succulentes ; Sukkulente ; aloe pequeño ; pianta grassa ; vetplant ; суккуленты ; Colorful ; 1_0x1_0
0090 ; FtrManhole ; manhole cover ; マンホール ; 人孔蓋 ; 人孔盖 ; 맨홀 ; plaque d'égout ; Kanaldeckel ; tapa de cloaca ; tombino ; putdeksel ; крышка люка ; Black ; 1_0x1_0
0092 ; FtrPylon ; cone ; パイロン ; 三角錐 ; 三角锥 ; 칼라콘 ; cône ; Absperrhütchen ; cono ; cono ; verkeerskegel ; конус ; Red ; 1_0x1_0
